timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1527119385282,2779,Get ALLERGY allergens,200,OK,jp@gc Ultima Thread - Meta Allergen Only 1-7,text,true,,4058235,172,1,1,2769,0,40
1527119388656,2412,Get ALLERGY allergens,200,OK,jp@gc Ultima Thread - Meta Allergen Only 1-7,text,true,,4058235,172,2,2,2403,0,2
1527119391098,2611,Get ALLERGY allergens,200,OK,jp@gc Ultima Thread - Meta Allergen Only 1-6,text,true,,4058235,172,2,2,2596,0,1
1527119391436,3154,Get ALLERGY allergens,200,OK,jp@gc Ultima Thread - Meta Allergen Only 1-7,text,true,,4058235,172,2,2,3140,0,1
1527119394063,2988,Get ALLERGY allergens,200,OK,jp@gc Ultima Thread - Meta Allergen Only 1-6,text,true,,4058235,172,3,3,2962,0,1
1527119395031,3255,Get ALLERGY allergens,200,OK,jp@gc Ultima Thread - Meta Allergen Only 1-7,text,true,,4058235,172,3,3,3238,0,0
1527119396794,3538,Get ALLERGY allergens,200,OK,jp@gc Ultima Thread - Meta Allergen Only 1-5,text,true,,4058235,172,3,3,3516,0,1
1527119397398,4087,Get ALLERGY allergens,200,OK,jp@gc Ultima Thread - Meta Allergen Only 1-6,text,true,,4058235,172,3,3,4071,0,0
1527119398919,4403,Get ALLERGY allergens,200,OK,jp@gc Ultima Thread - Meta Allergen Only 1-7,text,true,,4058235,172,4,4,4368,0,1
1527119400695,4664,Get ALLERGY allergens,200,OK,jp@gc Ultima Thread - Meta Allergen Only 1-5,text,true,,4058235,172,4,4,4637,0,0
1527119401837,4785,Get ALLERGY allergens,200,OK,jp@gc Ultima Thread - Meta Allergen Only 1-6,text,true,,4058235,172,4,4,4646,0,0
1527119402561,5183,Get ALLERGY allergens,200,OK,jp@gc Ultima Thread - Meta Allergen Only 1-4,text,true,,4058235,172,5,5,5158,0,1
1527119403864,5405,Get ALLERGY allergens,200,OK,jp@gc Ultima Thread - Meta Allergen Only 1-7,text,true,,4058235,172,5,5,5369,0,1
1527119405758,5595,Get ALLERGY allergens,200,OK,jp@gc Ultima Thread - Meta Allergen Only 1-5,text,true,,4058235,172,5,5,5537,0,0
1527119407163,5666,Get ALLERGY allergens,200,OK,jp@gc Ultima Thread - Meta Allergen Only 1-6,text,true,,4058235,172,5,5,5633,0,0
1527119408042,6871,Get ALLERGY allergens,200,OK,jp@gc Ultima Thread - Meta Allergen Only 1-3,text,true,,4058235,172,6,6,6821,0,0
1527119408353,6757,Get ALLERGY allergens,200,OK,jp@gc Ultima Thread - Meta Allergen Only 1-4,text,true,,4058235,172,6,6,6692,0,1
1527119409879,7636,Get ALLERGY allergens,200,OK,jp@gc Ultima Thread - Meta Allergen Only 1-7,text,true,,4058235,172,6,6,7562,0,0
1527119411689,8243,Get ALLERGY allergens,200,OK,jp@gc Ultima Thread - Meta Allergen Only 1-5,text,true,,4058235,172,7,7,8163,0,0
1527119413199,8381,Get ALLERGY allergens,200,OK,jp@gc Ultima Thread - Meta Allergen Only 1-6,text,true,,4058235,172,7,7,7978,0,1
1527119413656,8707,Get ALLERGY allergens,200,OK,jp@gc Ultima Thread - Meta Allergen Only 1-2,text,true,,4058235,172,7,7,8631,0,0
1527119415390,9596,Get ALLERGY allergens,200,OK,jp@gc Ultima Thread - Meta Allergen Only 1-3,text,true,,4058235,172,7,7,9412,0,2
1527119415576,10078,Get ALLERGY allergens,200,OK,jp@gc Ultima Thread - Meta Allergen Only 1-4,text,true,,4058235,172,7,7,10019,0,0
1527119418044,9702,Get ALLERGY allergens,200,OK,jp@gc Ultima Thread - Meta Allergen Only 1-7,text,true,,4058235,172,7,7,9601,0,1
1527119419530,10408,Get ALLERGY allergens,200,OK,jp@gc Ultima Thread - Meta Allergen Only 1-1,text,true,,4058235,172,7,7,10287,0,1
1527119420239,11065,Get ALLERGY allergens,200,OK,jp@gc Ultima Thread - Meta Allergen Only 1-5,text,true,,4058235,172,7,7,10990,0,0
1527119422202,10074,Get ALLERGY allergens,200,OK,jp@gc Ultima Thread - Meta Allergen Only 1-6,text,true,,4058235,172,7,7,10020,0,1
1527119422968,10771,Get ALLERGY allergens,200,OK,jp@gc Ultima Thread - Meta Allergen Only 1-2,text,true,,4058235,172,7,7,10651,0,1
1527119425629,10536,Get ALLERGY allergens,200,OK,jp@gc Ultima Thread - Meta Allergen Only 1-3,text,true,,4058235,172,8,8,10104,0,0
1527119426210,10718,Get ALLERGY allergens,200,OK,jp@gc Ultima Thread - Meta Allergen Only 1-4,text,true,,4058235,172,8,8,10592,0,1
1527119428137,11506,Get ALLERGY allergens,200,OK,jp@gc Ultima Thread - Meta Allergen Only 1-7,text,true,,4058235,172,8,8,11419,0,1
1527119430340,12039,Get ALLERGY allergens,200,OK,jp@gc Ultima Thread - Meta Allergen Only 1-1,text,true,,4058235,172,9,9,11837,0,1
1527119431888,11437,Get ALLERGY allergens,200,OK,jp@gc Ultima Thread - Meta Allergen Only 1-5,text,true,,4058235,172,9,9,11218,0,0
1527119432627,11552,Get ALLERGY allergens,200,OK,jp@gc Ultima Thread - Meta Allergen Only 1-6,text,true,,4058235,172,9,9,11436,0,1
1527119434362,12166,Get ALLERGY allergens,200,OK,jp@gc Ultima Thread - Meta Allergen Only 1-2,text,true,,4058235,172,10,10,11709,0,0
1527119435379,12590,Get ALLERGY allergens,200,OK,jp@gc Ultima Thread - Meta Allergen Only 1-14,text,true,,4058235,172,10,10,12362,0,1
1527119436796,12264,Get ALLERGY allergens,200,OK,jp@gc Ultima Thread - Meta Allergen Only 1-3,text,true,,4058235,172,10,10,11997,0,0
1527119437257,12694,Get ALLERGY allergens,200,OK,jp@gc Ultima Thread - Meta Allergen Only 1-4,text,true,,4058235,172,10,10,12492,0,1
1527119440228,14824,Get ALLERGY allergens,200,OK,jp@gc Ultima Thread - Meta Allergen Only 1-7,text,true,,4058235,172,11,11,14278,0,1
1527119440823,14900,Get ALLERGY allergens,200,OK,jp@gc Ultima Thread - Meta Allergen Only 1-13,text,true,,4058235,172,11,11,14508,0,0
1527119442754,13323,Get ALLERGY allergens,200,OK,jp@gc Ultima Thread - Meta Allergen Only 1-1,text,true,,4058235,172,11,11,13188,0,1
1527119443927,14845,Get ALLERGY allergens,200,OK,jp@gc Ultima Thread - Meta Allergen Only 1-5,text,true,,4058235,172,12,12,13899,0,1
1527119444759,14489,Get ALLERGY allergens,200,OK,jp@gc Ultima Thread - Meta Allergen Only 1-6,text,true,,4058235,172,12,12,14224,0,0
1527119446852,14068,Get ALLERGY allergens,200,OK,jp@gc Ultima Thread - Meta Allergen Only 1-12,text,true,,4058235,172,12,12,13797,0,2
1527119447121,15347,Get ALLERGY allergens,200,OK,jp@gc Ultima Thread - Meta Allergen Only 1-2,text,true,,4058235,172,12,12,15120,0,0
1527119448553,15944,Get ALLERGY allergens,200,OK,jp@gc Ultima Thread - Meta Allergen Only 1-14,text,true,,4058235,172,13,13,15510,0,0
1527119449466,15628,Get ALLERGY allergens,200,OK,jp@gc Ultima Thread - Meta Allergen Only 1-3,text,true,,4058235,172,13,13,15284,0,1
1527119450375,15995,Get ALLERGY allergens,200,OK,jp@gc Ultima Thread - Meta Allergen Only 1-4,text,true,,4058235,172,13,13,15629,0,1
1527119452219,16683,Get ALLERGY allergens,200,OK,jp@gc Ultima Thread - Meta Allergen Only 1-11,text,true,,4058235,172,13,13,16184,0,1
1527119455535,16798,Get ALLERGY allergens,200,OK,jp@gc Ultima Thread - Meta Allergen Only 1-7,text,true,,4058235,172,14,14,16381,0,0
1527119456301,16437,Get ALLERGY allergens,200,OK,jp@gc Ultima Thread - Meta Allergen Only 1-13,text,true,,4058235,172,14,14,15941,0,1
1527119456464,17271,Get ALLERGY allergens,200,OK,jp@gc Ultima Thread - Meta Allergen Only 1-1,text,true,,4058235,172,14,14,17061,0,0
1527119458217,17049,Get ALLERGY allergens,200,OK,jp@gc Ultima Thread - Meta Allergen Only 1-10,text,true,,4058235,172,14,14,16681,0,0
1527119459322,17506,Get ALLERGY allergens,200,OK,jp@gc Ultima Thread - Meta Allergen Only 1-5,text,true,,4058235,172,14,14,17133,0,1
1527119459706,18332,Get ALLERGY allergens,200,OK,jp@gc Ultima Thread - Meta Allergen Only 1-6,text,true,,4058235,172,14,14,18041,0,0
1527119461385,19436,Get ALLERGY allergens,200,OK,jp@gc Ultima Thread - Meta Allergen Only 1-12,text,true,,4058235,172,14,14,18416,0,0
1527119462793,18721,Get ALLERGY allergens,200,OK,jp@gc Ultima Thread - Meta Allergen Only 1-2,text,true,,4058235,172,14,14,18343,0,0
1527119463650,19503,Get ALLERGY allergens,200,OK,jp@gc Ultima Thread - Meta Allergen Only 1-9,text,true,,4058235,172,14,14,19193,0,1
1527119464984,19626,Get ALLERGY allergens,200,OK,jp@gc Ultima Thread - Meta Allergen Only 1-14,text,true,,4058235,172,15,15,19033,0,0
1527119465450,19671,Get ALLERGY allergens,200,OK,jp@gc Ultima Thread - Meta Allergen Only 1-3,text,true,,4058235,172,15,15,19378,0,1
1527119466934,19689,Get ALLERGY allergens,200,OK,jp@gc Ultima Thread - Meta Allergen Only 1-4,text,true,,4058235,172,15,15,19404,0,0
1527119469382,19896,Get ALLERGY allergens,200,OK,jp@gc Ultima Thread - Meta Allergen Only 1-11,text,true,,4058235,172,16,16,19604,0,1
1527119469644,19997,Get ALLERGY allergens,200,OK,jp@gc Ultima Thread - Meta Allergen Only 1-8,text,true,,4058235,172,16,16,19764,0,1
1527119473239,19509,Get ALLERGY allergens,200,OK,jp@gc Ultima Thread - Meta Allergen Only 1-13,text,true,,4058235,172,16,16,18909,0,0
