timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1527099839661,196,Get ALLERGY Sign Symptoms,200,OK,Meta Group 1-1,text,true,,3624,194,2,2,196,0,64
1527099839857,71,Get ALLERGY Sign Symptoms,200,OK,Meta Group 1-2,text,true,,3624,194,2,2,71,0,1
1527099839861,69,Get LOCATION,200,OK,Meta Group 1-1,text,true,,602,164,2,2,69,0,0
1527099839929,5,Get LOCATION,200,OK,Meta Group 1-2,text,true,,602,164,2,2,5,0,0
1527099839931,25,Get VITAL type,200,OK,Meta Group 1-1,text,true,,12793,165,2,2,25,0,0
1527099839935,24,Get VITAL type,200,OK,Meta Group 1-2,text,true,,12793,165,1,1,24,0,0
1527099840112,29,Get ALLERGY Sign Symptoms,200,OK,Meta Group 1-3,text,true,,3624,194,1,1,29,0,1
1527099840143,4,Get LOCATION,200,OK,Meta Group 1-3,text,true,,602,164,1,1,4,0,0
1527099840149,9,Get VITAL type,200,OK,Meta Group 1-3,text,true,,12793,165,1,1,9,0,0
1527099840366,26,Get ALLERGY Sign Symptoms,200,OK,Meta Group 1-4,text,true,,3624,194,1,1,26,0,1
1527099840393,4,Get LOCATION,200,OK,Meta Group 1-4,text,true,,602,164,1,1,4,0,0
1527099840398,13,Get VITAL type,200,OK,Meta Group 1-4,text,true,,12793,165,1,1,13,0,0
1527099840625,31,Get ALLERGY Sign Symptoms,200,OK,Meta Group 1-5,text,true,,3624,194,1,1,31,0,1
1527099840657,3,Get LOCATION,200,OK,Meta Group 1-5,text,true,,602,164,1,1,3,0,0
1527099840661,21,Get VITAL type,200,OK,Meta Group 1-5,text,true,,12793,165,1,1,21,0,0
1527099840884,26,Get ALLERGY Sign Symptoms,200,OK,Meta Group 1-6,text,true,,3624,194,1,1,26,0,1
1527099840912,4,Get LOCATION,200,OK,Meta Group 1-6,text,true,,602,164,1,1,4,0,0
1527099840916,13,Get VITAL type,200,OK,Meta Group 1-6,text,true,,12793,165,1,1,13,0,0
1527099841142,42,Get ALLERGY Sign Symptoms,200,OK,Meta Group 1-7,text,true,,3624,194,1,1,42,0,0
1527099841185,7,Get LOCATION,200,OK,Meta Group 1-7,text,true,,602,164,1,1,7,0,0
1527099841193,8,Get VITAL type,200,OK,Meta Group 1-7,text,true,,12793,165,1,1,8,0,0
1527099841400,24,Get ALLERGY Sign Symptoms,200,OK,Meta Group 1-8,text,true,,3624,194,1,1,24,0,1
1527099841425,5,Get LOCATION,200,OK,Meta Group 1-8,text,true,,602,164,1,1,5,0,0
1527099841431,8,Get VITAL type,200,OK,Meta Group 1-8,text,true,,12793,165,1,1,8,0,0
1527099841656,31,Get ALLERGY Sign Symptoms,200,OK,Meta Group 1-9,text,true,,3624,194,1,1,31,0,1
1527099841690,6,Get LOCATION,200,OK,Meta Group 1-9,text,true,,602,164,1,1,6,0,0
1527099841700,13,Get VITAL type,200,OK,Meta Group 1-9,text,true,,12793,165,1,1,13,0,0
1527099841914,59,Get ALLERGY Sign Symptoms,200,OK,Meta Group 1-10,text,true,,3624,194,1,1,59,0,0
1527099841974,3,Get LOCATION,200,OK,Meta Group 1-10,text,true,,602,164,1,1,3,0,0
1527099841978,10,Get VITAL type,200,OK,Meta Group 1-10,text,true,,12793,165,1,1,10,0,0
1527099842172,24,Get ALLERGY Sign Symptoms,200,OK,Meta Group 1-11,text,true,,3624,194,1,1,24,0,1
1527099842199,3,Get LOCATION,200,OK,Meta Group 1-11,text,true,,602,164,1,1,3,0,0
1527099842203,11,Get VITAL type,200,OK,Meta Group 1-11,text,true,,12793,165,1,1,11,0,0
1527099842428,31,Get ALLERGY Sign Symptoms,200,OK,Meta Group 1-12,text,true,,3624,194,1,1,31,0,1
1527099842462,7,Get LOCATION,200,OK,Meta Group 1-12,text,true,,602,164,1,1,7,0,0
1527099842470,13,Get VITAL type,200,OK,Meta Group 1-12,text,true,,12793,165,1,1,13,0,0
1527099842685,54,Get ALLERGY Sign Symptoms,200,OK,Meta Group 1-13,text,true,,3624,194,1,1,54,0,1
1527099842741,7,Get LOCATION,200,OK,Meta Group 1-13,text,true,,602,164,1,1,7,0,0
1527099842749,20,Get VITAL type,200,OK,Meta Group 1-13,text,true,,12793,165,1,1,20,0,0
1527099842941,23,Get ALLERGY Sign Symptoms,200,OK,Meta Group 1-14,text,true,,3624,194,1,1,23,0,1
1527099842964,6,Get LOCATION,200,OK,Meta Group 1-14,text,true,,602,164,1,1,6,0,0
1527099842970,12,Get VITAL type,200,OK,Meta Group 1-14,text,true,,12793,165,1,1,12,0,0
1527099843199,23,Get ALLERGY Sign Symptoms,200,OK,Meta Group 1-15,text,true,,3624,194,1,1,23,0,0
1527099843223,5,Get LOCATION,200,OK,Meta Group 1-15,text,true,,602,164,1,1,5,0,0
1527099843228,7,Get VITAL type,200,OK,Meta Group 1-15,text,true,,12793,165,1,1,7,0,0
1527099843454,21,Get ALLERGY Sign Symptoms,200,OK,Meta Group 1-16,text,true,,3624,194,1,1,21,0,0
1527099843475,4,Get LOCATION,200,OK,Meta Group 1-16,text,true,,602,164,1,1,4,0,0
1527099843479,8,Get VITAL type,200,OK,Meta Group 1-16,text,true,,12793,165,1,1,8,0,0
1527099843710,26,Get ALLERGY Sign Symptoms,200,OK,Meta Group 1-17,text,true,,3624,194,1,1,26,0,1
1527099843736,4,Get LOCATION,200,OK,Meta Group 1-17,text,true,,602,164,1,1,4,0,0
1527099843740,15,Get VITAL type,200,OK,Meta Group 1-17,text,true,,12793,165,1,1,15,0,0
1527099843969,22,Get ALLERGY Sign Symptoms,200,OK,Meta Group 1-18,text,true,,3624,194,1,1,22,0,1
1527099843996,7,Get LOCATION,200,OK,Meta Group 1-18,text,true,,602,164,1,1,7,0,0
1527099844003,15,Get VITAL type,200,OK,Meta Group 1-18,text,true,,12793,165,1,1,15,0,0
1527099844222,22,Get ALLERGY Sign Symptoms,200,OK,Meta Group 1-19,text,true,,3624,194,1,1,22,0,1
1527099844245,3,Get LOCATION,200,OK,Meta Group 1-19,text,true,,602,164,1,1,3,0,0
