timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1527119843331,2762,Get ALLERGY allergens,200,OK,jp@gc Ultima Thread - Meta Allergen Only 1-7,text,true,,4058235,172,1,1,2724,0,40
1527119846553,2430,Get ALLERGY allergens,200,OK,jp@gc Ultima Thread - Meta Allergen Only 1-7,text,true,,4058235,172,2,2,2382,0,1
1527119848927,2651,Get ALLERGY allergens,200,OK,jp@gc Ultima Thread - Meta Allergen Only 1-6,text,true,,4058235,172,2,2,2639,0,1
1527119849457,3084,Get ALLERGY allergens,200,OK,jp@gc Ultima Thread - Meta Allergen Only 1-7,text,true,,4058235,172,2,2,3065,0,1
1527119852212,2970,Get ALLERGY allergens,200,OK,jp@gc Ultima Thread - Meta Allergen Only 1-6,text,true,,4058235,172,3,3,2940,0,1
1527119853114,3183,Get ALLERGY allergens,200,OK,jp@gc Ultima Thread - Meta Allergen Only 1-7,text,true,,4058235,172,3,3,3165,0,0
1527119854729,3874,Get ALLERGY allergens,200,OK,jp@gc Ultima Thread - Meta Allergen Only 1-5,text,true,,4058235,172,3,3,3856,0,1
1527119855650,4019,Get ALLERGY allergens,200,OK,jp@gc Ultima Thread - Meta Allergen Only 1-6,text,true,,4058235,172,3,3,4001,0,0
1527119856661,4246,Get ALLERGY allergens,200,OK,jp@gc Ultima Thread - Meta Allergen Only 1-7,text,true,,4058235,172,4,4,4219,0,1
1527119858965,4553,Get ALLERGY allergens,200,OK,jp@gc Ultima Thread - Meta Allergen Only 1-5,text,true,,4058235,172,4,4,4519,0,0
1527119860319,4930,Get ALLERGY allergens,200,OK,jp@gc Ultima Thread - Meta Allergen Only 1-4,text,true,,4058235,172,4,4,4907,0,0
1527119860318,5422,Get ALLERGY allergens,200,OK,jp@gc Ultima Thread - Meta Allergen Only 1-6,text,true,,4058235,172,5,5,5397,0,1
1527119861463,5722,Get ALLERGY allergens,200,OK,jp@gc Ultima Thread - Meta Allergen Only 1-7,text,true,,4058235,172,5,5,5675,0,0
1527119863835,6341,Get ALLERGY allergens,200,OK,jp@gc Ultima Thread - Meta Allergen Only 1-5,text,true,,4058235,172,5,5,6301,0,1
1527119866061,5492,Get ALLERGY allergens,200,OK,jp@gc Ultima Thread - Meta Allergen Only 1-3,text,true,,4058235,172,6,6,5457,0,1
1527119865598,6611,Get ALLERGY allergens,200,OK,jp@gc Ultima Thread - Meta Allergen Only 1-4,text,true,,4058235,172,6,6,6445,0,0
1527119866272,7779,Get ALLERGY allergens,200,OK,jp@gc Ultima Thread - Meta Allergen Only 1-6,text,true,,4058235,172,6,6,7554,0,0
1527119867730,7650,Get ALLERGY allergens,200,OK,jp@gc Ultima Thread - Meta Allergen Only 1-7,text,true,,4058235,172,6,6,7520,0,1
1527119870776,8957,Get ALLERGY allergens,200,OK,jp@gc Ultima Thread - Meta Allergen Only 1-5,text,true,,4058235,172,7,7,8762,0,0
1527119871726,8204,Get ALLERGY allergens,200,OK,jp@gc Ultima Thread - Meta Allergen Only 1-2,text,true,,4058235,172,7,7,8147,0,1
1527119872172,8473,Get ALLERGY allergens,200,OK,jp@gc Ultima Thread - Meta Allergen Only 1-3,text,true,,4058235,172,7,7,8302,0,0
