timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1527204460187,260,Get DATA,200,OK,jp@gc Ultima Thread - Patient Data 1-697,text,true,,3785,162,31,31,260,0,177
1527204460650,6,Get DATA,200,OK,jp@gc Ultima Thread - Patient Data 1-670,text,true,,3785,162,40,40,6,0,1
1527204460640,6,Get DATA,200,OK,jp@gc Ultima Thread - Patient Data 1-668,text,true,,3785,162,40,40,6,0,1
1527204460638,6,Get DATA,200,OK,jp@gc Ultima Thread - Patient Data 1-671,text,true,,3785,162,40,40,6,0,0
1527204460737,10,Get DATA,200,OK,jp@gc Ultima Thread - Patient Data 1-662,text,true,,3785,162,45,45,10,0,0
1527204460620,5,Get DATA,200,OK,jp@gc Ultima Thread - Patient Data 1-672,text,true,,3785,162,39,39,5,0,1
1527204460592,9,Get DATA,200,OK,jp@gc Ultima Thread - Patient Data 1-669,text,true,,3785,162,38,38,9,0,1
1527204460861,15,Get DATA,200,OK,jp@gc Ultima Thread - Patient Data 1-659,text,true,,3785,162,51,51,15,0,0
1527204460560,7,Get DATA,200,OK,jp@gc Ultima Thread - Patient Data 1-679,text,true,,3785,162,36,36,7,0,1
1527204460556,7,Get DATA,200,OK,jp@gc Ultima Thread - Patient Data 1-673,text,true,,3785,162,36,36,7,0,1
1527204460523,6,Get DATA,200,OK,jp@gc Ultima Thread - Patient Data 1-675,text,true,,3785,162,34,34,6,0,1
1527204460484,19,Get DATA,200,OK,jp@gc Ultima Thread - Patient Data 1-680,text,true,,3785,162,33,33,19,0,0
1527204460467,35,Get DATA,200,OK,jp@gc Ultima Thread - Patient Data 1-677,text,true,,3785,162,33,33,35,0,0
1527204460150,332,Get DATA,200,OK,jp@gc Ultima Thread - Patient Data 1-691,text,true,,3785,162,32,32,332,0,213
1527204460149,324,Get DATA,200,OK,jp@gc Ultima Thread - Patient Data 1-698,text,true,,3785,162,32,32,324,0,215
1527204461081,8,Get DATA,200,OK,jp@gc Ultima Thread - Patient Data 1-654,text,true,,3785,162,60,60,8,0,1
1527204460319,155,Get DATA,200,OK,jp@gc Ultima Thread - Patient Data 1-687,text,true,,3785,162,32,32,155,0,44
1527204460148,327,Get DATA,200,OK,jp@gc Ultima Thread - Patient Data 1-696,text,true,,3785,162,32,32,327,0,215
1527204460149,327,Get DATA,200,OK,jp@gc Ultima Thread - Patient Data 1-699,text,true,,3785,162,32,32,327,0,217
1527204460349,127,Get DATA,200,OK,jp@gc Ultima Thread - Patient Data 1-686,text,true,,3785,162,32,32,127,0,15
1527204460453,26,Get DATA,200,OK,jp@gc Ultima Thread - Patient Data 1-678,text,true,,3785,162,32,32,26,0,1
1527204460148,333,Get DATA,200,OK,jp@gc Ultima Thread - Patient Data 1-700,text,true,,3785,162,32,32,333,0,217
