timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1527122568667,2583,Get ALLERGY allergens,200,OK,jp@gc Ultima Thread - Meta Allergen Only 1-7,text,true,,4058235,172,1,1,2537,0,43
1527122571581,2395,Get ALLERGY allergens,200,OK,jp@gc Ultima Thread - Meta Allergen Only 1-7,text,true,,4058235,172,2,2,2386,0,2
1527122574019,2590,Get ALLERGY allergens,200,OK,jp@gc Ultima Thread - Meta Allergen Only 1-6,text,true,,4058235,172,2,2,2576,0,1
1527122574364,3088,Get ALLERGY allergens,200,OK,jp@gc Ultima Thread - Meta Allergen Only 1-7,text,true,,4058235,172,2,2,3074,0,0
1527122576919,2847,Get ALLERGY allergens,200,OK,jp@gc Ultima Thread - Meta Allergen Only 1-6,text,true,,4058235,172,3,3,2834,0,0
1527122577951,3108,Get ALLERGY allergens,200,OK,jp@gc Ultima Thread - Meta Allergen Only 1-7,text,true,,4058235,172,3,3,3089,0,0
1527122580024,3745,Get ALLERGY allergens,200,OK,jp@gc Ultima Thread - Meta Allergen Only 1-5,text,true,,4058235,172,3,3,3732,0,1
1527122580096,4103,Get ALLERGY allergens,200,OK,jp@gc Ultima Thread - Meta Allergen Only 1-6,text,true,,4058235,172,3,3,4090,0,1
1527122581488,4081,Get ALLERGY allergens,200,OK,jp@gc Ultima Thread - Meta Allergen Only 1-7,text,true,,4058235,172,4,4,4062,0,1
1527122584095,4121,Get ALLERGY allergens,200,OK,jp@gc Ultima Thread - Meta Allergen Only 1-5,text,true,,4058235,172,4,4,4091,0,0
1527122584643,4772,Get ALLERGY allergens,200,OK,jp@gc Ultima Thread - Meta Allergen Only 1-6,text,true,,4058235,172,4,4,4741,0,0
1527122585472,4874,Get ALLERGY allergens,200,OK,jp@gc Ultima Thread - Meta Allergen Only 1-4,text,true,,4058235,172,4,4,4749,0,0
1527122585967,5402,Get ALLERGY allergens,200,OK,jp@gc Ultima Thread - Meta Allergen Only 1-7,text,true,,4058235,172,5,5,5376,0,0
1527122588537,5612,Get ALLERGY allergens,200,OK,jp@gc Ultima Thread - Meta Allergen Only 1-5,text,true,,4058235,172,5,5,5566,0,0
1527122590004,5537,Get ALLERGY allergens,200,OK,jp@gc Ultima Thread - Meta Allergen Only 1-6,text,true,,4058235,172,5,5,5490,0,1
1527122591223,6294,Get ALLERGY allergens,200,OK,jp@gc Ultima Thread - Meta Allergen Only 1-3,text,true,,4058235,172,6,6,6241,0,1
1527122590828,6980,Get ALLERGY allergens,200,OK,jp@gc Ultima Thread - Meta Allergen Only 1-4,text,true,,4058235,172,6,6,6816,0,1
1527122591992,6684,Get ALLERGY allergens,200,OK,jp@gc Ultima Thread - Meta Allergen Only 1-7,text,true,,4058235,172,6,6,6614,0,0
1527122594455,7771,Get ALLERGY allergens,200,OK,jp@gc Ultima Thread - Meta Allergen Only 1-5,text,true,,4058235,172,6,6,7703,0,0
1527122595917,8065,Get ALLERGY allergens,200,OK,jp@gc Ultima Thread - Meta Allergen Only 1-6,text,true,,4058235,172,7,7,7862,0,1
1527122596948,7034,Get ALLERGY allergens,200,OK,jp@gc Ultima Thread - Meta Allergen Only 1-2,text,true,,4058235,172,7,7,6955,0,0
1527122597854,8435,Get ALLERGY allergens,200,OK,jp@gc Ultima Thread - Meta Allergen Only 1-3,text,true,,4058235,172,7,7,8384,0,1
1527122598258,8747,Get ALLERGY allergens,200,OK,jp@gc Ultima Thread - Meta Allergen Only 1-4,text,true,,4058235,172,7,7,8723,0,0
1527122599253,8583,Get ALLERGY allergens,200,OK,jp@gc Ultima Thread - Meta Allergen Only 1-7,text,true,,4058235,172,7,7,8526,0,1
1527122602699,9075,Get ALLERGY allergens,200,OK,jp@gc Ultima Thread - Meta Allergen Only 1-5,text,true,,4058235,172,7,7,8979,0,0
1527122602884,9876,Get ALLERGY allergens,200,OK,jp@gc Ultima Thread - Meta Allergen Only 1-1,text,true,,4058235,172,7,7,9782,0,1
1527122604347,10422,Get ALLERGY allergens,200,OK,jp@gc Ultima Thread - Meta Allergen Only 1-6,text,true,,4058235,172,7,7,9910,0,1
1527122604592,10242,Get ALLERGY allergens,200,OK,jp@gc Ultima Thread - Meta Allergen Only 1-2,text,true,,4058235,172,7,7,10168,0,0
1527122606841,9959,Get ALLERGY allergens,200,OK,jp@gc Ultima Thread - Meta Allergen Only 1-3,text,true,,4058235,172,7,7,9617,0,1
1527122607414,9744,Get ALLERGY allergens,200,OK,jp@gc Ultima Thread - Meta Allergen Only 1-4,text,true,,4058235,172,7,7,9690,0,1
1527122608371,9511,Get ALLERGY allergens,200,OK,jp@gc Ultima Thread - Meta Allergen Only 1-7,text,true,,4058235,172,8,8,9300,0,1
1527122612089,10159,Get ALLERGY allergens,200,OK,jp@gc Ultima Thread - Meta Allergen Only 1-5,text,true,,4058235,172,8,8,10009,0,1
1527122613329,10409,Get ALLERGY allergens,200,OK,jp@gc Ultima Thread - Meta Allergen Only 1-1,text,true,,4058235,172,9,9,10251,0,0
1527122615122,10337,Get ALLERGY allergens,200,OK,jp@gc Ultima Thread - Meta Allergen Only 1-6,text,true,,4058235,172,9,9,10077,0,0
1527122615336,10187,Get ALLERGY allergens,200,OK,jp@gc Ultima Thread - Meta Allergen Only 1-2,text,true,,4058235,172,9,9,10101,0,1
1527122617500,11401,Get ALLERGY allergens,200,OK,jp@gc Ultima Thread - Meta Allergen Only 1-4,text,true,,4058235,172,10,10,10904,0,0
1527122617703,11262,Get ALLERGY allergens,200,OK,jp@gc Ultima Thread - Meta Allergen Only 1-15,text,true,,4058235,172,10,10,11068,0,1
1527122617424,11544,Get ALLERGY allergens,200,OK,jp@gc Ultima Thread - Meta Allergen Only 1-3,text,true,,4058235,172,10,10,11201,0,1
1527122618361,11428,Get ALLERGY allergens,200,OK,jp@gc Ultima Thread - Meta Allergen Only 1-7,text,true,,4058235,172,10,10,11181,0,0
1527122622835,12850,Get ALLERGY allergens,200,OK,jp@gc Ultima Thread - Meta Allergen Only 1-14,text,true,,4058235,172,11,11,12619,0,1
1527122622834,14306,Get ALLERGY allergens,200,OK,jp@gc Ultima Thread - Meta Allergen Only 1-5,text,true,,4058235,172,11,11,14057,0,1
1527122624074,13108,Get ALLERGY allergens,200,OK,jp@gc Ultima Thread - Meta Allergen Only 1-1,text,true,,4058235,172,11,11,12980,0,1
1527122625805,13711,Get ALLERGY allergens,200,OK,jp@gc Ultima Thread - Meta Allergen Only 1-6,text,true,,4058235,172,12,12,13169,0,1
1527122626028,14487,Get ALLERGY allergens,200,OK,jp@gc Ultima Thread - Meta Allergen Only 1-2,text,true,,4058235,172,12,12,14154,0,1
1527122627621,13996,Get ALLERGY allergens,200,OK,jp@gc Ultima Thread - Meta Allergen Only 1-13,text,true,,4058235,172,12,12,13739,0,0
1527122629284,14547,Get ALLERGY allergens,200,OK,jp@gc Ultima Thread - Meta Allergen Only 1-4,text,true,,4058235,172,13,13,14033,0,1
1527122629589,14448,Get ALLERGY allergens,200,OK,jp@gc Ultima Thread - Meta Allergen Only 1-3,text,true,,4058235,172,13,13,13933,0,1
1527122629306,15470,Get ALLERGY allergens,200,OK,jp@gc Ultima Thread - Meta Allergen Only 1-15,text,true,,4058235,172,13,13,14963,0,0
1527122630309,15121,Get ALLERGY allergens,200,OK,jp@gc Ultima Thread - Meta Allergen Only 1-7,text,true,,4058235,172,13,13,14670,0,0
1527122632686,16628,Get ALLERGY allergens,200,OK,jp@gc Ultima Thread - Meta Allergen Only 1-12,text,true,,4058235,172,14,14,16288,0,0
1527122636254,17051,Get ALLERGY allergens,200,OK,jp@gc Ultima Thread - Meta Allergen Only 1-14,text,true,,4058235,172,15,15,16272,0,0
1527122637734,16726,Get ALLERGY allergens,200,OK,jp@gc Ultima Thread - Meta Allergen Only 1-1,text,true,,4058235,172,15,15,16455,0,1
1527122637766,18250,Get ALLERGY allergens,200,OK,jp@gc Ultima Thread - Meta Allergen Only 1-5,text,true,,4058235,172,15,15,17789,0,1
1527122637588,18512,Get ALLERGY allergens,200,OK,jp@gc Ultima Thread - Meta Allergen Only 1-11,text,true,,4058235,172,15,15,18279,0,1
1527122640856,19361,Get ALLERGY allergens,200,OK,jp@gc Ultima Thread - Meta Allergen Only 1-2,text,true,,4058235,172,15,15,18801,0,0
1527122640049,20592,Get ALLERGY allergens,200,OK,jp@gc Ultima Thread - Meta Allergen Only 1-6,text,true,,4058235,172,15,15,19874,0,1
1527122641988,18853,Get ALLERGY allergens,200,OK,jp@gc Ultima Thread - Meta Allergen Only 1-13,text,true,,4058235,172,15,15,18191,0,0
1527122644216,18608,Get ALLERGY allergens,200,OK,jp@gc Ultima Thread - Meta Allergen Only 1-4,text,true,,4058235,172,15,15,17977,0,1
1527122642822,20791,Get ALLERGY allergens,200,OK,jp@gc Ultima Thread - Meta Allergen Only 1-10,text,true,,4058235,172,15,15,20325,0,0
1527122645268,20838,Get ALLERGY allergens,200,OK,jp@gc Ultima Thread - Meta Allergen Only 1-15,text,true,,4058235,172,15,15,20100,0,0
1527122646052,20142,Get ALLERGY allergens,200,OK,jp@gc Ultima Thread - Meta Allergen Only 1-7,text,true,,4058235,172,15,15,19510,0,1
1527122644657,21924,Get ALLERGY allergens,200,OK,jp@gc Ultima Thread - Meta Allergen Only 1-3,text,true,,4058235,172,15,15,21657,0,1
1527122647846,21292,Get ALLERGY allergens,200,OK,jp@gc Ultima Thread - Meta Allergen Only 1-9,text,true,,4058235,172,16,16,20796,0,1
1527122649783,21080,Get ALLERGY allergens,200,OK,jp@gc Ultima Thread - Meta Allergen Only 1-12,text,true,,4058235,172,16,16,20344,0,1
1527122652878,22613,Get ALLERGY allergens,200,OK,jp@gc Ultima Thread - Meta Allergen Only 1-8,text,true,,4058235,172,17,17,22111,0,1
1527122653688,21921,Get ALLERGY allergens,200,OK,jp@gc Ultima Thread - Meta Allergen Only 1-14,text,true,,4058235,172,18,18,21071,0,0
1527122655073,21139,Get ALLERGY allergens,200,OK,jp@gc Ultima Thread - Meta Allergen Only 1-1,text,true,,4058235,172,18,18,20277,0,1
1527122656660,22013,Get ALLERGY allergens,200,OK,jp@gc Ultima Thread - Meta Allergen Only 1-11,text,true,,4058235,172,18,18,21209,0,1
1527122656595,22788,Get ALLERGY allergens,200,OK,jp@gc Ultima Thread - Meta Allergen Only 1-5,text,true,,4058235,172,18,18,22316,0,1
1527122660787,21789,Get ALLERGY allergens,200,OK,jp@gc Ultima Thread - Meta Allergen Only 1-2,text,true,,4058235,172,19,19,21365,0,1
1527122661006,22050,Get ALLERGY allergens,200,OK,jp@gc Ultima Thread - Meta Allergen Only 1-6,text,true,,4058235,172,19,19,21277,0,0
1527122661211,22699,Get ALLERGY allergens,200,OK,jp@gc Ultima Thread - Meta Allergen Only 1-13,text,true,,4058235,172,19,19,22315,0,0
1527122663282,24638,Get ALLERGY allergens,200,OK,jp@gc Ultima Thread - Meta Allergen Only 1-4,text,true,,4058235,172,20,20,23938,0,0
1527122663915,24047,Get ALLERGY allergens,200,OK,jp@gc Ultima Thread - Meta Allergen Only 1-10,text,true,,4058235,172,20,20,23551,0,1
1527122666475,24092,Get ALLERGY allergens,200,OK,jp@gc Ultima Thread - Meta Allergen Only 1-15,text,true,,4058235,172,21,21,23427,0,0
1527122666582,24356,Get ALLERGY allergens,200,OK,jp@gc Ultima Thread - Meta Allergen Only 1-7,text,true,,4058235,172,21,21,23536,0,0
1527122667034,24016,Get ALLERGY allergens,200,OK,jp@gc Ultima Thread - Meta Allergen Only 1-24,text,true,,4058235,172,21,21,23428,0,1
1527122667225,24324,Get ALLERGY allergens,200,OK,jp@gc Ultima Thread - Meta Allergen Only 1-3,text,true,,4058235,172,21,21,23477,0,1
1527122669607,25068,Get ALLERGY allergens,200,OK,jp@gc Ultima Thread - Meta Allergen Only 1-9,text,true,,4058235,172,22,22,24297,0,0
1527122671597,26742,Get ALLERGY allergens,200,OK,jp@gc Ultima Thread - Meta Allergen Only 1-23,text,true,,4058235,172,23,23,26064,0,1
1527122671346,27438,Get ALLERGY allergens,200,OK,jp@gc Ultima Thread - Meta Allergen Only 1-12,text,true,,4058235,172,23,23,26714,0,0
1527122675840,28239,Get ALLERGY allergens,200,OK,jp@gc Ultima Thread - Meta Allergen Only 1-8,text,true,,4058235,172,24,24,27233,0,0
1527122676144,27935,Get ALLERGY allergens,200,OK,jp@gc Ultima Thread - Meta Allergen Only 1-22,text,true,,4058235,172,24,24,27061,0,1
1527122676245,29186,Get ALLERGY allergens,200,OK,jp@gc Ultima Thread - Meta Allergen Only 1-14,text,true,,4058235,172,24,24,27999,0,1
1527122676807,30450,Get ALLERGY allergens,200,OK,jp@gc Ultima Thread - Meta Allergen Only 1-1,text,true,,4058235,172,24,24,29679,0,0
1527122679958,31744,Get ALLERGY allergens,200,OK,jp@gc Ultima Thread - Meta Allergen Only 1-5,text,true,,4058235,172,24,24,29838,0,0
1527122679164,32966,Get ALLERGY allergens,200,OK,jp@gc Ultima Thread - Meta Allergen Only 1-11,text,true,,4058235,172,24,24,32271,0,1
1527122682976,29296,Get ALLERGY allergens,200,OK,jp@gc Ultima Thread - Meta Allergen Only 1-2,text,true,,4058235,172,24,24,28592,0,1
1527122680540,32016,Get ALLERGY allergens,200,OK,jp@gc Ultima Thread - Meta Allergen Only 1-21,text,true,,4058235,172,24,24,31291,0,1
1527122683653,31387,Get ALLERGY allergens,200,OK,jp@gc Ultima Thread - Meta Allergen Only 1-6,text,true,,4058235,172,24,24,30705,0,1
1527122684397,33412,Get ALLERGY allergens,200,OK,jp@gc Ultima Thread - Meta Allergen Only 1-13,text,true,,4058235,172,25,25,32222,0,1
1527122684849,33124,Get ALLERGY allergens,200,OK,jp@gc Ultima Thread - Meta Allergen Only 1-20,text,true,,4058235,172,25,25,31641,0,0
1527122689315,33651,Get ALLERGY allergens,200,OK,jp@gc Ultima Thread - Meta Allergen Only 1-19,text,true,,4058235,172,26,26,31822,0,0
1527122688554,34925,Get ALLERGY allergens,200,OK,jp@gc Ultima Thread - Meta Allergen Only 1-4,text,true,,4058235,172,26,26,34274,0,0
1527122688432,35399,Get ALLERGY allergens,200,OK,jp@gc Ultima Thread - Meta Allergen Only 1-10,text,true,,4058235,172,26,26,34897,0,1
1527122691591,32692,Get ALLERGY allergens,200,OK,jp@gc Ultima Thread - Meta Allergen Only 1-24,text,true,,4058235,172,26,26,32018,0,0
1527122691914,35172,Get ALLERGY allergens,200,OK,jp@gc Ultima Thread - Meta Allergen Only 1-3,text,true,,4058235,172,27,27,34486,0,1
1527122691193,36260,Get ALLERGY allergens,200,OK,jp@gc Ultima Thread - Meta Allergen Only 1-15,text,true,,4058235,172,27,27,35073,0,1
