timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1527616558968,98,Post ALLERGY,200,OK,jp@gc Ultima Thread - Allergy Vitals 1-40,text,true,,297,833,1,1,98,0,52
1527616559345,8,Post ALLERGY,200,OK,jp@gc Ultima Thread - Allergy Vitals 1-39,text,true,,297,833,2,2,8,0,1
1527616559361,5,Delete ALLERGY,200,OK,jp@gc Ultima Thread - Allergy Vitals 1-40,text,true,,266,209,2,2,5,0,0
1527616559539,4,Delete ALLERGY,200,OK,jp@gc Ultima Thread - Allergy Vitals 1-39,text,true,,266,209,2,2,4,0,0
1527616559555,41,Post VITALS,200,OK,jp@gc Ultima Thread - Allergy Vitals 1-40,text,true,,1090,475,3,3,41,0,0
1527616559729,14,Post VITALS,200,OK,jp@gc Ultima Thread - Allergy Vitals 1-39,text,true,,1090,475,3,3,14,0,0
1527616559810,7,Post ALLERGY,200,OK,jp@gc Ultima Thread - Allergy Vitals 1-38,text,true,,297,833,3,3,7,0,1
1527616560007,179,Delete ALLERGY,200,OK,jp@gc Ultima Thread - Allergy Vitals 1-38,text,true,,266,209,4,4,179,0,0
1527616560142,48,Post ALLERGY,200,OK,jp@gc Ultima Thread - Allergy Vitals 1-37,text,true,,297,833,4,4,48,0,1
1527616560371,570,Delete ALLERGY,200,OK,jp@gc Ultima Thread - Allergy Vitals 1-37,text,true,,266,209,6,6,570,0,0
1527616560852,139,Post ALLERGY,200,OK,jp@gc Ultima Thread - Allergy Vitals 1-35,text,true,,297,833,6,6,139,0,1
1527616560451,540,Post ALLERGY,200,OK,jp@gc Ultima Thread - Allergy Vitals 1-36,text,true,,297,833,6,6,540,0,1
1527616561187,225,Delete ALLERGY,200,OK,jp@gc Ultima Thread - Allergy Vitals 1-36,text,true,,266,209,7,7,225,0,0
1527616559871,1562,Get VITALS list,200,OK,jp@gc Ultima Thread - Allergy Vitals 1-39,text,true,,4450239,164,8,8,1534,0,0
1527616560391,1038,Post VITALS,200,OK,jp@gc Ultima Thread - Allergy Vitals 1-38,text,true,,1090,475,7,7,1038,0,0
1527616561213,214,Post ALLERGY,200,OK,jp@gc Ultima Thread - Allergy Vitals 1-34,text,true,,297,833,7,7,214,0,0
1527616559844,1575,Get VITALS list,200,OK,jp@gc Ultima Thread - Allergy Vitals 1-40,text,true,,4450239,164,7,7,1029,0,0
1527616561166,247,Delete ALLERGY,200,OK,jp@gc Ultima Thread - Allergy Vitals 1-35,text,true,,266,209,7,7,247,0,0
1527616561099,338,Post VITALS,200,OK,jp@gc Ultima Thread - Allergy Vitals 1-37,text,true,,1090,475,8,8,338,0,0
1527616561608,14,Get VITALS ID,200,OK,jp@gc Ultima Thread - Allergy Vitals 1-39,text,true,,728,188,8,8,14,0,2
1527616561621,4,Post ALLERGY,200,OK,jp@gc Ultima Thread - Allergy Vitals 1-33,text,true,,297,833,8,8,4,0,0
1527616561636,15,Post VITALS,200,OK,jp@gc Ultima Thread - Allergy Vitals 1-36,text,true,,1090,475,8,8,15,0,0
1527616561642,15,Post VITALS,200,OK,jp@gc Ultima Thread - Allergy Vitals 1-35,text,true,,1090,475,8,8,15,0,0
1527616561637,18,Get VITALS ID,200,OK,jp@gc Ultima Thread - Allergy Vitals 1-40,text,true,,728,188,8,8,18,0,0
1527616561668,2,Delete ALLERGY,200,OK,jp@gc Ultima Thread - Allergy Vitals 1-34,text,true,,266,209,8,8,2,0,0
1527616561802,99,Delete VITALS,200,OK,jp@gc Ultima Thread - Allergy Vitals 1-40,text,true,,728,188,9,9,99,0,0
1527616561869,140,Delete ALLERGY,200,OK,jp@gc Ultima Thread - Allergy Vitals 1-33,text,true,,266,209,9,9,140,0,0
1527616561850,160,Delete VITALS,200,OK,jp@gc Ultima Thread - Allergy Vitals 1-39,text,true,,728,188,9,9,160,0,0
1527616561918,448,Post ALLERGY,200,OK,jp@gc Ultima Thread - Allergy Vitals 1-32,text,true,,297,833,10,10,448,0,0
1527616562137,700,Post ALLERGY,200,OK,jp@gc Ultima Thread - Allergy Vitals 1-40,text,true,,297,833,11,11,700,0,0
1527616562620,290,Delete ALLERGY,200,OK,jp@gc Ultima Thread - Allergy Vitals 1-32,text,true,,266,209,11,11,290,0,0
1527616562282,1100,Post ALLERGY,200,OK,jp@gc Ultima Thread - Allergy Vitals 1-39,text,true,,297,833,13,13,1099,0,0
1527616563029,402,Delete ALLERGY,200,OK,jp@gc Ultima Thread - Allergy Vitals 1-40,text,true,,266,209,13,13,402,0,0
1527616562393,1038,Post ALLERGY,200,OK,jp@gc Ultima Thread - Allergy Vitals 1-31,text,true,,297,833,13,13,1038,0,0
1527616562663,768,Post ALLERGY,200,OK,jp@gc Ultima Thread - Allergy Vitals 1-30,text,true,,297,833,13,13,768,0,1
