timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1527618245133,90,Post ALLERGY,200,OK,jp@gc Ultima Thread - Allergy Vitals 1-35,text,true,,297,833,1,1,90,0,50
1527618245495,7,Delete ALLERGY,200,OK,jp@gc Ultima Thread - Allergy Vitals 1-35,text,true,,266,209,2,2,7,0,0
1527618245603,10,Post ALLERGY,200,OK,jp@gc Ultima Thread - Allergy Vitals 1-34,text,true,,297,833,2,2,10,0,1
1527618245708,40,Post VITALS,200,OK,jp@gc Ultima Thread - Allergy Vitals 1-35,text,true,,1093,475,2,2,40,0,0
1527618245895,5,Delete ALLERGY,200,OK,jp@gc Ultima Thread - Allergy Vitals 1-34,text,true,,266,209,3,3,5,0,0
1527618246012,9,Post ALLERGY,200,OK,jp@gc Ultima Thread - Allergy Vitals 1-33,text,true,,297,833,3,3,9,0,1
1527618246198,87,Delete ALLERGY,200,OK,jp@gc Ultima Thread - Allergy Vitals 1-33,text,true,,266,209,4,4,87,0,0
1527618246116,208,Post VITALS,200,OK,jp@gc Ultima Thread - Allergy Vitals 1-34,text,true,,1093,475,4,4,208,0,0
1527618246477,643,Post ALLERGY,200,OK,jp@gc Ultima Thread - Allergy Vitals 1-32,text,true,,297,833,6,6,642,0,1
1527618245992,1142,Get VITALS list,200,OK,jp@gc Ultima Thread - Allergy Vitals 1-35,text,true,,5316967,164,6,6,1118,0,0
1527618246454,679,Post VITALS,200,OK,jp@gc Ultima Thread - Allergy Vitals 1-33,text,true,,1093,475,6,6,679,0,0
1527618246912,214,Post ALLERGY,200,OK,jp@gc Ultima Thread - Allergy Vitals 1-31,text,true,,297,833,6,6,214,0,0
1527618247196,24,Post ALLERGY,200,OK,jp@gc Ultima Thread - Allergy Vitals 1-30,text,true,,297,833,6,6,24,0,0
1527618247280,35,Get VITALS ID,200,OK,jp@gc Ultima Thread - Allergy Vitals 1-35,text,true,,729,189,6,6,35,0,1
1527618247335,17,Delete ALLERGY,200,OK,jp@gc Ultima Thread - Allergy Vitals 1-32,text,true,,266,209,6,6,17,0,0
1527618247347,6,Delete ALLERGY,200,OK,jp@gc Ultima Thread - Allergy Vitals 1-31,text,true,,266,209,6,6,6,0,0
1527618247482,516,Delete ALLERGY,200,OK,jp@gc Ultima Thread - Allergy Vitals 1-30,text,true,,266,209,8,8,516,0,0
1527618246553,1454,Get VITALS list,200,OK,jp@gc Ultima Thread - Allergy Vitals 1-34,text,true,,5317953,164,8,8,1426,0,0
1527618247627,403,Post ALLERGY,200,OK,jp@gc Ultima Thread - Allergy Vitals 1-29,text,true,,297,833,8,8,403,0,1
1527618247586,450,Delete VITALS,200,OK,jp@gc Ultima Thread - Allergy Vitals 1-35,text,true,,729,189,8,8,449,0,0
1527618247482,580,Post VITALS,200,OK,jp@gc Ultima Thread - Allergy Vitals 1-32,text,true,,1093,475,8,8,580,0,0
1527618247526,579,Post VITALS,200,OK,jp@gc Ultima Thread - Allergy Vitals 1-31,text,true,,1093,475,8,8,579,0,0
1527618248116,25,Post ALLERGY,200,OK,jp@gc Ultima Thread - Allergy Vitals 1-28,text,true,,297,833,8,8,25,0,0
1527618248221,514,Delete ALLERGY,200,OK,jp@gc Ultima Thread - Allergy Vitals 1-29,text,true,,266,209,9,9,514,0,0
1527618248256,505,Delete ALLERGY,200,OK,jp@gc Ultima Thread - Allergy Vitals 1-28,text,true,,266,209,9,9,505,0,0
1527618247370,1426,Get VITALS list,200,OK,jp@gc Ultima Thread - Allergy Vitals 1-33,text,true,,5317953,164,9,9,1315,0,0
1527618248271,537,Get VITALS ID,200,OK,jp@gc Ultima Thread - Allergy Vitals 1-34,text,true,,729,189,10,10,537,0,1
